fecha,afore,comision_sobre_saldo_pct,total_cuentas,trabajadores_registrados,trabajadores_asignados,trabajadores_imss,trabajadores_issste,rcv_imss_mdp,rcv_issste_mdp,ahorro_voluntario_mdp,recursos_administrados_mdp,recursos_registrados_mdp,vivienda_mdp,entradas_mdp,salidas_mdp,traspasos_cedidos,traspasos_recibidos
1999-09-01,xxi banorte,,467188.0,467188.0,,467188.0,,5163.86,,7.35,5253.78,9789.7,4535.92,,,0.0,167.0
1999-10-01,banamex,,1803747.0,1803747.0,,1803747.0,,15531.66,,35.47,16736.73,29216.06,12479.33,,,291.0,444.0
1999-10-01,inbursa,,379645.0,379645.0,,379645.0,,7831.49,,94.19,8169.02,14411.38,6242.35,,,98.0,146.0
1999-10-01,principal,,353986.0,353986.0,,353986.0,,1799.3,,0.75,1899.78,3382.73,1482.95,,,85.0,115.0
1999-10-01,profuturo,,2013624.0,2013624.0,,2013624.0,,9176.87,,12.4,9327.78,16886.65,7558.87,,,571.0,557.0
1999-10-01,sura,,1552629.0,1552629.0,,1552629.0,,7880.88,,6.6,8212.55,14660.48,6447.93,,,329.0,67.0
1999-10-01,xxi banorte,,474630.0,474630.0,,474630.0,,5379.54,,11.0,5481.41,10022.93,4541.53,,,27.0,310.0
1999-11-01,banamex,,1845338.0,1845338.0,,1845338.0,,16308.93,,45.61,17544.35,30421.83,12877.48,,,373.0,677.0
1999-11-01,inbursa,,380339.0,380339.0,,380339.0,,8256.85,,97.81,8596.37,15061.76,6465.39,,,86.0,133.0
1999-11-01,principal,,375920.0,375920.0,,375920.0,,1899.17,,0.95,2000.18,3538.94,1538.76,,,80.0,135.0
1999-11-01,profuturo,,2021236.0,2021236.0,,2021236.0,,9658.96,,14.36,9812.87,17707.42,7894.56,,,801.0,411.0
1999-11-01,sura,,1592048.0,1592048.0,,1592048.0,,8349.42,,7.67,8726.46,15435.68,6709.22,,,417.0,34.0
1999-11-01,xxi banorte,,480717.0,480717.0,,480717.0,,5751.95,,14.01,5952.65,10677.94,4725.29,,,38.0,265.0
1999-12-01,banamex,,1876471.0,1876471.0,,1876471.0,,16949.32,,53.13,18236.5,31339.49,13102.99,,,450.0,551.0
1999-12-01,inbursa,,380587.0,380587.0,,380587.0,,8476.67,,109.77,8843.17,15329.35,6486.19,,,126.0,153.0
1999-12-01,principal,,393146.0,393146.0,,393146.0,,1978.29,,1.82,2085.12,3646.67,1561.55,,,108.0,110.0
1999-12-01,profuturo,,2024466.0,2024466.0,,2024466.0,,10030.11,,19.13,10196.78,18207.87,8011.09,,,931.0,566.0
1999-12-01,sura,,1611047.0,1611047.0,,1611047.0,,8683.5,,8.9,9074.79,15877.83,6803.04,,,407.0,63.0
1999-12-01,xxi banorte,,484710.0,484710.0,,484710.0,,5953.69,,19.08,6270.71,11042.75,4772.04,,,28.0,302.0
2000-01-01,banamex,,1895032.0,1895032.0,,1895032.0,,17723.7,,68.66,18235.3,31851.23,13615.93,,,781.0,803.0
2000-01-01,inbursa,,380831.0,380831.0,,380831.0,,8921.06,,123.69,9293.43,16047.29,6753.86,,,218.0,225.0
2000-01-01,principal,,409670.0,409670.0,,409670.0,,2075.82,,1.77,2181.1,3808.29,1627.18,,,72.0,38.0
2000-01-01,profuturo,,2027550.0,2027550.0,,2027550.0,,10520.07,,23.9,10682.36,19024.33,8341.97,,,1076.0,1617.0
2000-01-01,sura,,1623073.0,1623073.0,,1623073.0,,9114.72,,12.19,9575.49,16673.74,7098.25,,,925.0,123.0
2000-01-01,xxi banorte,,489552.0,489552.0,,489552.0,,6312.35,,24.35,6614.28,11616.58,5002.3,,,39.0,289.0
2000-02-01,banamex,,1926780.0,1926780.0,,1926780.0,,18291.27,,82.33,18826.7,32544.65,13717.95,,,776.0,817.0
2000-02-01,inbursa,,381072.0,381072.0,,381072.0,,9127.69,,135.75,9515.7,16318.98,6803.28,,,116.0,126.0
2000-02-01,principal,,431357.0,431357.0,,431357.0,,2149.91,,2.28,2257.65,3898.69,1641.04,,,81.0,51.0
2000-02-01,profuturo,,2033480.0,2033480.0,,2033480.0,,10882.11,,29.63,11062.67,19501.5,8438.83,,,767.0,1251.0
2000-02-01,sura,,1631609.0,1631609.0,,1631609.0,,9432.09,,14.44,9883.11,17034.21,7151.1,,,967.0,92.0
2000-02-01,xxi banorte,,495519.0,495519.0,,495519.0,,6548.48,,30.55,6904.02,11995.92,5091.9,,,30.0,196.0
2000-03-01,banamex,,1956748.0,1956748.0,,1956748.0,,19121.06,,99.35,19795.74,34084.73,14288.99,,,587.0,882.0
2000-03-01,inbursa,,381535.0,381535.0,,381535.0,,9561.58,,149.11,9972.75,17055.43,7082.68,,,127.0,177.0
2000-03-01,principal,,451598.0,451598.0,,451598.0,,2263.44,,2.93,2375.6,4096.47,1720.86,,,67.0,34.0
2000-03-01,profuturo,,2038508.0,2038508.0,,2038508.0,,11388.33,,35.2,11581.98,20387.8,8805.83,,,824.0,1102.0
2000-03-01,sura,,1641480.0,1641480.0,,1641480.0,,9887.63,,16.79,10431.1,17910.57,7479.47,,,664.0,250.0
2000-03-01,xxi banorte,,502877.0,502877.0,,502877.0,,6904.98,,39.58,7321.16,12657.38,5336.22,,,31.0,220.0
2000-04-01,banamex,,1983008.0,1983008.0,,1983008.0,,19543.41,,113.46,20245.76,34864.95,14619.19,,,561.0,795.0
2000-04-01,inbursa,,381865.0,381865.0,,381865.0,,9705.81,,159.09,10132.35,17362.98,7230.64,,,123.0,168.0
2000-04-01,principal,,466286.0,466286.0,,466286.0,,2323.03,,3.07,2437.17,4199.83,1762.66,,,73.0,30.0
2000-04-01,profuturo,,2044410.0,2044410.0,,2044410.0,,11685.78,,37.98,11902.29,20928.33,9026.04,,,602.0,695.0
2000-04-01,sura,,1651552.0,1651552.0,,1651552.0,,10131.19,,19.13,10636.85,18288.46,7651.6,,,696.0,239.0
2000-04-01,xxi banorte,,508749.0,508749.0,,508749.0,,7068.48,,46.86,7297.55,12776.19,5478.64,,,22.0,255.0
2000-05-01,banamex,,2010110.0,2010110.0,,2010110.0,,19976.53,,121.62,20744.53,35951.81,15207.28,,,632.0,817.0
2000-05-01,inbursa,,382193.0,382193.0,,382193.0,,10052.88,,169.07,10480.96,18000.04,7519.08,,,113.0,172.0
2000-05-01,principal,,487125.0,487125.0,,487125.0,,2395.66,,2.63,2507.07,4351.59,1844.52,,,61.0,31.0
2000-05-01,profuturo,,2049270.0,2049270.0,,2049270.0,,11995.02,,43.49,12211.01,21607.35,9396.34,,,918.0,723.0
2000-05-01,sura,,1665381.0,1665381.0,,1665381.0,,10416.77,,20.05,10979.53,18968.22,7988.7,,,664.0,385.0
2000-05-01,xxi banorte,,516074.0,516074.0,,516074.0,,7297.15,,51.61,7488.89,13225.59,5736.7,,,21.0,273.0
2000-06-01,banamex,,2047392.0,2047392.0,,2047392.0,,20437.15,,134.52,21260.72,36553.58,15292.86,,,0.0,900.0
2000-06-01,inbursa,,382695.0,382695.0,,382695.0,,10192.67,,171.23,10638.17,18178.35,7540.18,,,159.0,97.0
2000-06-01,principal,,502786.0,502786.0,,502786.0,,2462.2,,2.6,2578.9,4434.97,1856.07,,,64.0,24.0
2000-06-01,profuturo,,2055038.0,2055038.0,,2055038.0,,12284.58,,43.87,12530.04,21995.95,9465.91,,,894.0,870.0
2000-06-01,sura,,1688509.0,1688509.0,,1688509.0,,10658.3,,21.71,11219.38,19248.57,8029.19,,,701.0,190.0
2000-06-01,xxi banorte,,523099.0,523099.0,,523099.0,,7444.05,,56.67,7618.62,13330.86,5712.24,,,30.0,202.0
2000-07-01,banamex,,2075986.0,2075986.0,,2075986.0,,21679.46,,140.9,22560.34,38427.74,15867.41,,,571.0,1959.0
2000-07-01,inbursa,,383345.0,383345.0,,383345.0,,10716.07,,175.77,11151.76,18947.81,7796.04,,,167.0,173.0
2000-07-01,principal,,521425.0,521425.0,,521425.0,,2617.36,,3.6,2732.33,4679.02,1946.69,,,67.0,28.0
2000-07-01,profuturo,,2059789.0,2059789.0,,2059789.0,,13073.39,,48.65,13302.35,23154.91,9852.56,,,2544.0,718.0
2000-07-01,sura,,1713651.0,1713651.0,,1713651.0,,11312.49,,21.04,11938.26,20306.41,8368.15,,,862.0,533.0
2000-07-01,xxi banorte,,530884.0,530884.0,,530884.0,,7920.97,,60.85,8149.43,14143.48,5994.05,,,28.0,163.0
2000-08-01,banamex,,2115150.0,2115150.0,,2115150.0,,22159.58,,143.83,23057.22,39045.9,15988.69,,,1048.0,1366.0
2000-08-01,inbursa,,384681.0,384681.0,,384681.0,,10858.82,,179.1,11303.66,19138.15,7834.49,,,102.0,192.0
2000-08-01,principal,,540197.0,540197.0,,540197.0,,2688.12,,3.7,2804.69,4771.71,1967.03,,,74.0,14.0
2000-08-01,profuturo,,2065531.0,2065531.0,,2065531.0,,13378.39,,50.78,13613.91,23555.35,9941.44,,,1488.0,817.0
2000-08-01,sura,,1744452.0,1744452.0,,1744452.0,,11566.09,,21.22,12148.32,20552.44,8404.11,,,619.0,198.0
2000-08-01,xxi banorte,,539543.0,539543.0,,539543.0,,8096.81,,63.19,8331.7,14384.09,6052.39,,,34.0,155.0
2000-09-01,banamex,,2143776.0,2143776.0,,2143776.0,,22999.39,,150.11,24039.93,40623.34,16583.41,,,637.0,1439.0
2000-09-01,inbursa,,386224.0,386224.0,,386224.0,,11346.45,,183.34,11810.45,19944.95,8134.5,,,113.0,141.0
2000-09-01,principal,,557213.0,557213.0,,557213.0,,2805.27,,3.86,2954.39,5010.09,2055.7,,,55.0,12.0
2000-09-01,profuturo,,2072587.0,2072587.0,,2072587.0,,13958.25,,55.5,14187.06,24511.85,10324.79,,,1768.0,780.0
2000-09-01,sura,,1775815.0,1775815.0,,1775815.0,,12044.73,,27.62,12728.81,21475.68,8746.87,,,775.0,938.0
2000-09-01,xxi banorte,,547385.0,547385.0,,547385.0,,8440.96,,67.67,8692.23,14974.8,6282.57,,,36.0,161.0
2000-10-01,banamex,,2182542.0,2182542.0,,2182542.0,,23514.71,,149.64,24543.82,41248.39,16704.57,,,590.0,1347.0
2000-10-01,inbursa,,387710.0,387710.0,,387710.0,,11530.21,,177.02,11981.88,20161.5,8179.61,,,111.0,159.0
2000-10-01,principal,,576258.0,576258.0,,576258.0,,2912.37,,3.52,3061.04,5175.05,2114.0,,,89.0,25.0
2000-10-01,profuturo,,2081692.0,2081692.0,,2081692.0,,14293.84,,58.67,14555.08,24956.21,10401.13,,,1691.0,619.0
2000-10-01,sura,,1805081.0,1805081.0,,1805081.0,,12406.05,,27.79,12714.8,21551.88,8837.08,,,693.0,2124.0
2000-10-01,xxi banorte,,558295.0,558295.0,,558295.0,,8628.93,,66.76,8879.52,15216.07,6336.54,,,33.0,198.0
2000-11-01,banamex,,2208851.0,2208851.0,,2208851.0,,24516.83,,149.71,25678.22,42968.5,17290.28,,,722.0,1574.0
2000-11-01,inbursa,,389404.0,389404.0,,389404.0,,12036.87,,173.07,12502.94,20965.45,8462.51,,,104.0,103.0
2000-11-01,principal,,587258.0,587258.0,,587258.0,,3064.12,,3.7,3229.32,5452.2,2222.88,,,89.0,21.0
2000-11-01,profuturo,,2091843.0,2091843.0,,2091843.0,,14868.48,,60.68,15162.79,25940.23,10777.44,,,1654.0,506.0
2000-11-01,sura,,1831584.0,1831584.0,,1831584.0,,12995.95,,29.88,13377.57,22576.36,9198.78,,,1278.0,1348.0
2000-11-01,xxi banorte,,567759.0,567759.0,,567759.0,,9095.96,,68.8,9366.33,16024.65,6658.32,,,21.0,163.0
2000-12-01,banamex,,2248343.0,2248343.0,,2248343.0,,25144.83,,158.19,26332.65,43643.66,17311.01,,,1030.0,1839.0
2000-12-01,inbursa,,391024.0,391024.0,,391024.0,,12244.03,,183.7,12726.73,21178.2,8451.46,,,286.0,113.0
2000-12-01,principal,,610745.0,610745.0,,610745.0,,3169.58,,3.86,3336.39,5588.04,2251.65,,,168.0,21.0
